id,desc
1,ES
2,US
3,CA
4,DE
5,GB
6,NG
7,IN
8,HK
9,PT
10,NL
11,CH
12,CF
13,FR
14,AU
15,FI
16,UA
17,IE
18,IL
19,GH
20,AT
21,CO
22,SG
23,SE
24,SI
25,MX
26,UZ
27,BR
28,TH
29,HR
30,PL
31,KW
32,VN
33,CY
34,AR
35,AM
36,BA
37,KE
38,GR
39,MK
40,LV
41,RO
42,PK
43,IT
44,MA
45,LT
46,BE
47,AS
48,IR
49,HU
50,SK
51,CN
52,CZ
53,CR
54,TR
55,CL
56,PR
57,DK
58,BO
59,PH
60,DO
61,EG
62,ID
63,AE
64,MY
65,JP
66,EE
67,HN
68,TN
69,RU
70,DZ
71,IQ
72,BG
73,JE
74,RS
75,NZ
76,MD
77,LU
78,MT
79,AL
80,BS
